ID,Text,Comment
IgorZ.SmartPower.BatteryCapacity,Energiespeicher: {0} / {1},
IgorZ.SmartPower.BatteryCharging,Energiespeicher lädt: <GreenHighlight>🡅</GreenHighlight>{0} ({1}),
IgorZ.SmartPower.BatteryDischarging,Energiespeicher entlädt: <RedHighlight>🡇</RedHighlight>{0} ({1}),
IgorZ.SmartPower.PoweredGenerator.NeverStop,Diesen Energieerzeuger niemals anhalten,
IgorZ.SmartPower.PoweredGenerator.Automated,Diesen Energieerzeuger automatisieren,
IgorZ.SmartPower.PoweredGenerator.ChargeBatteriesRangeText,Halte den Ladezustand des Energiespeichers im Bereich {0}% - {1}%,
IgorZ.SmartPower.PoweredGenerator.ApplyToAllGenerators,Anwenden bei allen Energieerzeugern,
IgorZ.SmartPower.PoweredGenerator.AppliedToGenerators,Angewendet bei {0} Energieerzeugern,
IgorZ.SmartPower.MechanicalBuilding.NoWorkersStatus,<SolidHighlight>⏻</SolidHighlight> Keine Arbeiter am Arbeitsplatz,
IgorZ.SmartPower.MechanicalBuilding.NoFuelStatus,<SolidHighlight>⏻</SolidHighlight> Fehlender Kraftstoff,
IgorZ.SmartPower.MechanicalBuilding.NoInputStatus,<SolidHighlight>⏻</SolidHighlight> Fehlende Materialien,
IgorZ.SmartPower.MechanicalBuilding.BlockedOutputStatus,<SolidHighlight>⏻</SolidHighlight> Fehlende Lagerplätze,
IgorZ.SmartPower.MechanicalBuilding.PowerSavingModeStatus,Energiesparmodus,
