ID,Text,Comment
IgorZ.SmartPower.BatteryCapacity,电池组电量: {0} / {1},
IgorZ.SmartPower.BatteryCharging,电池组充电中: <GreenHighlight>🡅</GreenHighlight>{0} ({1}),
IgorZ.SmartPower.BatteryDischarging,电池组放电中: <RedHighlight>🡇</RedHighlight>{0} ({1}),
IgorZ.SmartPower.BatteryNotUsed,<GreenHighlight>电池组未工作</GreenHighlight>,
IgorZ.SmartPower.BatteryDepleted,<RedHighlight>电池组电力耗尽</RedHighlight>,
IgorZ.SmartPower.PowerOutputBalancer.AutomateGenerator,自动化该发电机,
IgorZ.SmartPower.PowerOutputBalancer.ChargeBatteriesRangeText,保持电池组电量在 {0}% - {1}% 之间,
IgorZ.SmartPower.PowerOutputBalancer.ApplyToAllGenerators,应用于所有同种发电机,
IgorZ.SmartPower.PowerOutputBalancer.AppliedToGenerators,已应用于其余 {0} 台发电机,
IgorZ.SmartPower.PowerOutputBalancer.SuspendedModeStatus,供电过剩，已暂停运行,
IgorZ.SmartPower.MechanicalBuilding.NoWorkersStatus,<YellowHighlight>⏻</YellowHighlight> 无劳工在岗,
IgorZ.SmartPower.MechanicalBuilding.NoFuelStatus,<YellowHighlight>⏻</YellowHighlight> 燃料不足,
IgorZ.SmartPower.MechanicalBuilding.NoInputStatus,<YellowHighlight>⏻</YellowHighlight> 所需资源不足,
IgorZ.SmartPower.MechanicalBuilding.BlockedOutputStatus,<YellowHighlight>⏻</YellowHighlight> 产品堆积,
IgorZ.SmartPower.MechanicalBuilding.PowerSavingModeStatus,节能模式,
IgorZ.SmartPower.PowerInputLimiter.SuspendIfNoPower,电力不足时暂停运行,
IgorZ.SmartPower.PowerInputLimiter.SuspendIfLowEfficiency,最低效率要求: {0}%,
IgorZ.SmartPower.PowerInputLimiter.MinBatteriesRatio,电池组电量低于 {0}% 时停止运行,
IgorZ.SmartPower.PowerInputLimiter.ApplyToAllBuildings,应用于所有同种建筑,
IgorZ.SmartPower.PowerInputLimiter.AppliedToBuildings,已应用其余 {0} 座建筑,
IgorZ.SmartPower.PowerInputLimiter.PowerShutdownModeStatus,为节省能源已暂停运行,
IgorZ.SmartPower.PowerInputLimiter.NotEnoughPowerStatus,<RedHighlight>⏻</RedHighlight> 电力不足,
IgorZ.SmartPower.PowerInputLimiter.LowBatteriesChargeStatus,<RedHighlight>⏻</RedHighlight> 电池组电力不足,
IgorZ.SmartPower.Common.MinutesTillResume,<GreenHighlight>⏻</GreenHighlight> 将于 {0} 分钟后恢复运行,
IgorZ.SmartPower.Common.MinutesTillSuspend,<YellowHighlight>⏻</YellowHighlight> 将于 {0} 分钟后暂停运行,
IgorZ.SmartPower.Settings.DebugSection,调试与故障排除,
IgorZ.SmartPower.Settings.Debug.VerboseLogging,详细日志记录,
IgorZ.SmartPower.Settings.Debug.VerboseLoggingTooltip,"记录更详细的日志信息，但可能会影响游戏性能",
IgorZ.SmartPower.Settings.BatteriesSection,电池组,
IgorZ.SmartPower.Settings.Batteries.ShowBatteryVitals,显示电池组状态,
IgorZ.SmartPower.Settings.Batteries.BatteryRatioHysteresis,用电器重启最少时间要求 (小时),
IgorZ.SmartPower.Settings.Batteries.BatteryRatioHysteresisTooltip,如果暂停的用电器无法依靠电池组运行至少指定时长，则不会自动重启,
IgorZ.SmartPower.Settings.WalkerPoweredGeneratorSection,海狸动力发电机,
IgorZ.SmartPower.Settings.GoodConsumingGeneratorSection,消耗资源的发电机,
IgorZ.SmartPower.Settings.Manufactory.ConsumeOneHorsepower,"节能模式下仅消耗 1 马力","When enabled, manufactories in power saving mode consume 1 hp instead of 10% of nominal power."
IgorZ.SmartPower.Settings.Manufactory.ConsumeOneHorsepowerTooltip,"默认情况下，节能模式会消耗建筑额定功率的 10%。启用此选项可将功耗降至 1 马力。","Tooltip for the 1 hp power saving mode setting."
IgorZ.SmartPower.Settings.ManufactorySection,"生产建筑","Settings section for manufactory power saving behavior."
IgorZ.SmartPower.Settings.WorkplaceConsumerSection,工坊类建筑,
IgorZ.SmartPower.Settings.UnmannedConsumerSection,无人值守类建筑,
IgorZ.SmartPower.Settings.AttractionConsumerSection,娱乐设施,
IgorZ.SmartPower.Settings.UI.ShowFloatingIcon,显示浮动图标,
IgorZ.SmartPower.Settings.Hysteresis.ResumeDelay,恢复延迟 (分钟),
IgorZ.SmartPower.Settings.Hysteresis.SuspendDelay,暂停延迟 (分钟),
