ID,Text,Comment
AnalyticsConsent.Agree,"Ja, ich stimme zu",
AnalyticsConsent.Disagree,"Nein, ich stimme nicht zu",
AnalyticsConsent.Header,Spieldaten,Header of the panel that allows the player to consent to sending user data to the developers.
AnalyticsConsent.Info,"Bitte hilf uns, durch Teilen deines Spielverhaltens in Timberborn das Spiel zu verbessern.

Mit deiner Zustimmung erfassen wir automatisch spielbezogene Informationen während deiner Spielsitzungen.

Du kannst die Zustimmung in den Spieleinstellungen jederzeit widerrufen und deine Daten löschen. Weitere Informationen findest du in unseren <link><u>Datenschutzbestimmungen</u></link>.

Vielen Dank!",
Attractions.LoadRate,Beliebtheit,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,Besucher,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,Besucher: {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Failure,Automatisches Speichern fehlgeschlagen,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,Automatisches Speichern aufgrund fehlenden Speicherplatzes fehlgeschlagen,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.Success,Automatisch gespeichert,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
BatchControl.Distribution,Verteilung,Title of the distribution panel
BatchControl.Housing,Wohnraum,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,Energie,Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys.
BatchControl.Migration,Migration,Title of migration panel
BatchControl.NoDistrict,Es wurde kein Bezirk ausgewählt.,Shown when no district is selected on some batch control tabs
BatchControl.Population,Bevölkerung,Tooltip of a tab allowing to manage population.
BatchControl.ShowInfo,Siedlung verwalten,Button opening a window to view and manage multiple buildings and characters at once . Please keep short
BatchControl.Storage,Lagerplätze,Tooltip of a tab allowing to manage warehouses.
BatchControl.Workplaces,Arbeitsplätze,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.TemplateName,Erwachsener Biber,
Beaver.Adulthood,Erwachsenenalter,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,Alter: {0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.Child.TemplateName,Biberjunges,
Beaver.DeadNameSuffix,(verstorben),Preceded by beaver name and age
Beaver.DiedOldAge,{0} starb an Altersschwäche.,{0} stands for beaver name
Beaver.Employment,Beschäftigung,Header of a section that tells of how many and where beavers are working
Beaver.GrewUp,{0} ist erwachsen geworden.,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.Homeless,Obdachlos,Signifies that the beaver has no home
Beaver.HomelessPlural,Obdachlos,Label before number of homeless beavers
Beaver.House,Lebt in: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Launched,{0} ist gestartet.,{0} stands for beaver name. A notification that a beaver has been launched in a plane.
Beaver.PluralDisplayName,Biber,
Beaver.Population.Adults,Erwachsene,Label before number of adult beavers
Beaver.Population.Children,Jungtiere,Label before number of kit beavers
Beaver.Population.Contaminated,Kontaminiert,Header of the list of beavers contaminated by badwater. Should be similar or same as Need.BadwaterContamination.DisplayName
Beaver.Population.ContaminatedAdults,Kontaminierte Erwachsene,"Label before number of adult beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Population.ContaminatedChildren,Kontaminierte Jungtiere,"Label before number of children beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Unemployed,Arbeitslos,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,Arbeitslos,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,Arbeitet in: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
Bonus.CarryingCapacity,Tragekapazität,How much stuff a unit can carry
Bonus.CuttingSuccessChance,Fällchance,Cutting chance when cutting down a tree
Bonus.GrowthSpeed,Wachstumsgeschwindigkeit,Speed at which young beavers grow up
Bonus.LifeExpectancy,Lebenserwartung,The presumed length of beavers' life.
Bonus.MovementSpeed,Bewegungsgeschwindigkeit,"Describes how fast character can move (bonus to walking, running and swimming)."
Bonus.WorkingSpeed,Arbeitsgeschwindigkeit,Speed at which the beavers work.
Bot.BeaversPerished,"Und hör mir bloß mit den Bibern auf!
Sie hatten alles. Frische Luft, sauberes Wasser.
Nun sind sie nur noch eine blasse Erinnerung.","Text for a game over state, when all beavers have perished."
Bot.Created,{0} wurde erschaffen!,{0} stands for bot name. Notification that shows when production of a new bot finishes.
Bot.DeadNameSuffix,(zerstört),Preceded by bot name and age
Bot.DeathMessage,{0} ist kaputtgegangen.,{0} stands for bot name. Notification that shows when a bot breaks down completely (it's destroyed)
Bot.DisplayName.Folktails,Holzroboter {0},{0} stands for a bot serial number. Name of bots from the Folktails faction. Named after the fact they are visibly made from wood.
Bot.DisplayName.IronTeeth,Eisenroboter {0},{0} stands for a bot serial number. Name of bots from the Iron Teeth faction. Named after the fact they are visibly made from metal.
Bot.Durability,Haltbarkeit,Label before a progress bar showing amount of durability left
Bot.PluralDisplayName,Roboter,"Bots are autonomous robots, who assist beavers in their everyday tasks. They are constructed in factories."
Bot.TemplateName,Roboter,A bot is an animated anthropomorphic being which is created from inanimate matter. Timberborn bots are depicting beavers and are made of wood and metal.
Breeding.NutrientBringing,"Nährstoffe werden von Schleppern, Arbeitslosen und Arbeitern nach der Arbeit bereitgestellt.","Haulers are the same as in Building.HaulingPost.Description, unemployed as in Beaver.UnemployedPlural, workers as in Work.WorkersLabel"
Breeding.NutrientsNeeded,Benötigte Nährstoffe:,Followed by a list of nutrients needed to produce a new beaver in breeding facility
Breeding.Progress,Zuchtfortschritt,Label inside a progress bar describing production progress of new beaver in breeding facility
BuilderPriorityTool.Description,"Verwende dieses Werkzeug, um die Priorität für Bau, Abriss und das Sammeln von Gütern aus Bauschutt festzulegen.",Rubble should be plural version of RecoveredGoodStack.DisplayName
BuilderPriorityTool.Tip,"Klicke auf ein Element, um dessen Priorität festzulegen, oder halte die Taste gedrückt, um einen größeren Bereich auszuwählen.",
Building.AdvancedBreedingPod.Description,"Produziert dank eines modernen Zuchtprozesses ausgewachsene Biber, die sofort zur Arbeit eingesetzt werden können.",Breeding should be the same as Building.BreedingPod.DisplayName
Building.AdvancedBreedingPod.DisplayName,Verbesserter Zuchtbehälter,
Building.AdvancedBreedingPod.FlavorDescription,"Die Idee war geboren, als ein Jungtier in einen Kessel voller Extrakt fiel und danach extrem schnell zu wachsen begann.","Extract must be the same as Good.Extract.DisplayName, kit is a young beaver."
Building.Agora.Description,"Ein weiträumiger Treffpunkt, an dem Biber alles rund um das Thema Holz diskutieren können.",
Building.Agora.DisplayName,Agora,
Building.Agora.FlavorDescription,"Wenn die grünen Leuchten scheinen, wissen die Rustikalruten, dass sie sich versammeln sollen.",Folktails must be same as faction as Faction.Folktails.DisplayName.
Building.AncientAquiferDrill.DisplayName,Antiker Grundwasserbohrer,
Building.AquaticFarmhouse.Description,"Beschäftigt spezialisierte Bauern, um <YellowHighlight>aquatische</YellowHighlight> Nutzpflanzen anzubauen und zu ernten.","Aquatic is a keyword, must be the same as in NaturalResources.Aquatic."
Building.AquaticFarmhouse.DisplayName,Aquatisches Bauernhaus,A farmhouse that specializes in water plants.
Building.AquaticFarmhouse.FlavorDescription,"„Es gab mal ein Gerücht, dass wir Fisch essen würden. Ekelhaft!“ – Oma Mangonella","Beavers eating fish is a common misconception. Beavers are 100% herbivores. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Aquifer.Description,Eine unterirdische Wasserquelle.,
Building.Aquifer.DisplayName,Grundwasserleiter,
Building.AquiferDrill.Description,Fördert Wasser aus einem Grundwasserleiter.,
Building.AquiferDrill.DisplayName,Grundwasserbohrer,
Building.BadtideDrain.Description,Während einer Faulwasserflut tritt daraus Faulwasser aus.,
Building.BadtideDrain.DisplayName,Faulwasserabfluss,
Building.BadwaterDischarge.Description,Verschließt eine Faulwasserquelle. Kann geöffnet und geschlossen werden. Im geöffneten Zustand gewährt er sogar bei Dürren den Zufluss von Faulwasser.,"Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDischarge.DisplayName,Faulwasserdurchlass,"Name of the building that can either stop flow of badwater or enforce flow with full power. It's a dome shaped, mechanical building that opens and closes like a camera shutter. Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDischarge.FlavorDescription,Die härteste Tür Biberlins.,This is a reference to a youtuber called Real Civil Engineer.
Building.BadwaterDome.Description,Verschließt eine Faulwasserquelle. Kann beliebig geöffnet und geschlossen werden.,"Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDome.DisplayName,Faulwassersiel,Name of the building that stops flow of badwater when put on its source. It's a dome shaped mechanical building that can open and close by raising the cover up and down. Badwater must be the same as Good.Badwater.DisplayName.
Building.BadwaterDome.FlavorDescription,"Weg mit allem, was keine Miete zahlt!","This is a reference to a Bob Marley song ""No woman, no cry""."
Building.BadwaterPump.Description,"Eine verstärkte Pumpe, die Faulwasser abpumpen kann. Niedrige Faulwasserkontaminierung verlangsamt die Pumpleistung.",Badwater should be the same as Good.Badwater.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project.
Building.BadwaterPump.DisplayName,Faulwasserpumpe,Badwater should be the same as Good.Badwater.DisplayName.
