ID,Text,Comment
AnalyticsConsent.Agree,"Sí, acepto",
AnalyticsConsent.Disagree,"No, no acepto",
AnalyticsConsent.Header,Datos de juego,Header of the panel that allows the player to consent to sending user data to the developers.
AnalyticsConsent.Info,"Comparte datos sobre tu forma de jugar a Timberborn para ayudarnos a mejorar el juego.

Si aceptas, recopilaremos de forma automática información sobre tu forma de jugar durante las sesiones de juego.

Puedes acceder a los ajustes del juego en cualquier momento para retirar el consentimiento y eliminar los datos. Para obtener más información, consulta nuestra <link><u>política de privacidad</u></link>.

¡Gracias!",
Attractions.LoadRate,Popularidad,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,Visitantes,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,Visitantes: {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Failure,Autoguardado fallido,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,El autoguardado ha fallado porque no hay suficiente espacio en el disco duro.,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.Success,Autoguardado completado,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
BatchControl.Distribution,Distribución,Title of the distribution panel
BatchControl.Housing,Vivienda,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,Energía,Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys.
BatchControl.Migration,Migración,Title of migration panel
BatchControl.NoDistrict,No has seleccionado ningún distrito.,Shown when no district is selected on some batch control tabs
BatchControl.Population,Población,Tooltip of a tab allowing to manage population.
BatchControl.ShowInfo,Gestionar asentamiento,Button opening a window to view and manage multiple buildings and characters at once . Please keep short
BatchControl.Storage,Almacenamiento,Tooltip of a tab allowing to manage warehouses.
BatchControl.Workplaces,Lugares de trabajo,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.TemplateName,Castor adulto,
Beaver.Adulthood,Edad adulta,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,Edad: {0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.Child.TemplateName,Castor cría,
Beaver.DeadNameSuffix,(muerto),Preceded by beaver name and age
Beaver.DiedOldAge,{0} ha muerto de vejez.,{0} stands for beaver name
Beaver.Employment,Empleo,Header of a section that tells of how many and where beavers are working
Beaver.GrewUp,{0} ha crecido.,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.Homeless,Sin hogar,Signifies that the beaver has no home
Beaver.HomelessPlural,Sin hogar,Label before number of homeless beavers
