ID,Text,Comment
AnalyticsConsent.Agree,"Sì, acconsento",
AnalyticsConsent.Disagree,"No, non acconsento",
AnalyticsConsent.Header,Dati di gioco,Header of the panel that allows the player to consent to sending user data to the developers.
AnalyticsConsent.Info,"Vorremmo che ci aiutassi a migliorare Timberborn, condividendo con noi i tuoi dati di gioco.

Qualora acconsentissi, raccoglieremo automaticamente le informazioni necessarie durante ogni sessione.

Potrai revocare il consenso e richiedere l'eliminazione dei tuoi dati in qualunque momento dalle impostazioni del gioco. Per maggiori dettagli, ti invitiamo a consultare la nostra <link><u>informativa sulla privacy</u></link>.

Grazie!",
Attractions.LoadRate,Popolarità,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,Visitatori,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,Visitatori: {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Failure,Autosalvataggio non riuscito,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,Autosalvataggio non riuscito per spazio insufficiente sul disco,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.Success,Autosalvataggio,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
BatchControl.Distribution,Smistamento,Title of the distribution panel
BatchControl.Housing,Abitazioni,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,Energia,Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys.
BatchControl.Migration,Migrazione,Title of migration panel
BatchControl.NoDistrict,Nessun distretto selezionato.,Shown when no district is selected on some batch control tabs
BatchControl.Population,Popolazione,Tooltip of a tab allowing to manage population.
BatchControl.ShowInfo,Gestione insediamento,Button opening a window to view and manage multiple buildings and characters at once . Please keep short
BatchControl.Storage,Stoccaggio,Tooltip of a tab allowing to manage warehouses.
BatchControl.Workplaces,Posti di lavoro,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.TemplateName,Castoro adulto,
Beaver.Adulthood,Età adulta,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,Età: {0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.Child.TemplateName,Castoro cucciolo,
Beaver.DeadNameSuffix,(morto),Preceded by beaver name and age
Beaver.DiedOldAge,{0} è morto di vecchiaia.,{0} stands for beaver name
Beaver.Employment,Impiego,Header of a section that tells of how many and where beavers are working
Beaver.GrewUp,{0} ha raggiunto l'età adulta.,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.Homeless,Senzatetto,Signifies that the beaver has no home
Beaver.HomelessPlural,Senzatetto,Label before number of homeless beavers
Beaver.House,Vive in: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Launched,Castoro lanciato: {0},{0} stands for beaver name. A notification that a beaver has been launched in a plane.
Beaver.PluralDisplayName,Castori,
Beaver.Population.Adults,Adulti,Label before number of adult beavers
Beaver.Population.Children,Cuccioli,Label before number of kit beavers
Beaver.Population.Contaminated,Contaminati,Header of the list of beavers contaminated by badwater. Should be similar or same as Need.BadwaterContamination.DisplayName
Beaver.Population.ContaminatedAdults,Adulti contaminati,"Label before number of adult beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Population.ContaminatedChildren,Cuccioli contaminati,"Label before number of children beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Unemployed,Disoccupato,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,Disoccupati,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,Lavora in: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
Bonus.CarryingCapacity,Capacità di carico,How much stuff a unit can carry
Bonus.CuttingSuccessChance,Probabilità di taglio,Cutting chance when cutting down a tree
Bonus.GrowthSpeed,Velocità di crescita,Speed at which young beavers grow up
Bonus.LifeExpectancy,Aspettativa di vita,The presumed length of beavers' life.
Bonus.MovementSpeed,Velocità di movimento,"Describes how fast character can move (bonus to walking, running and swimming)."
Bonus.WorkingSpeed,Velocità lavorativa,Speed at which the beavers work.
Bot.BeaversPerished,"Non farmi nemmeno pensare ai castori.
Avevano tutto quanto si potesse desiderare: aria fresca, acqua pulita.
Ora non sono che un vago ricordo.","Text for a game over state, when all beavers have perished."
Bot.Created,{0} è stato creato!,{0} stands for bot name. Notification that shows when production of a new bot finishes.
Bot.DeadNameSuffix,(distrutto),Preceded by bot name and age
Bot.DeathMessage,{0} si è rotto.,{0} stands for bot name. Notification that shows when a bot breaks down completely (it's destroyed)
Bot.DisplayName.Folktails,Legnobot {0},{0} stands for a bot serial number. Name of bots from the Folktails faction. Named after the fact they are visibly made from wood.
Bot.DisplayName.IronTeeth,Ferrobot {0},{0} stands for a bot serial number. Name of bots from the Iron Teeth faction. Named after the fact they are visibly made from metal.
Bot.Durability,Resistenza,Label before a progress bar showing amount of durability left
Bot.PluralDisplayName,Castoribot,"Bots are autonomous robots, who assist beavers in their everyday tasks. They are constructed in factories."
Bot.TemplateName,Castorobot,A bot is an animated anthropomorphic being which is created from inanimate matter. Timberborn bots are depicting beavers and are made of wood and metal.
