ID,Text,Comment
AnalyticsConsent.Agree,はい、同意します,
AnalyticsConsent.Disagree,いいえ、同意しません,
AnalyticsConsent.Header,ゲームプレイデータ,Header of the panel that allows the player to consent to sending user data to the developers.
AnalyticsConsent.Info,"Timberbornのプレイデータを共有し、ゲームの改良にご協力ください。

同意された場合、プレイセッション中にゲームプレイ関連の情報が自動的に収集されます。

ゲーム内の設定から、いつでも同意を撤回し、データを削除することができます。詳しくは、<link><u>プライバシーポリシー</u></link>をご覧ください。

よろしくお願いいたします。",
Attractions.LoadRate,人気度,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,訪問者,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,訪問者： {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Failure,自動保存に失敗,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,ディスク領域の不足により自動保存できません,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.Success,自動保存,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
BatchControl.Distribution,配給,Title of the distribution panel
BatchControl.Housing,住居,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,動力,Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys.
BatchControl.Migration,移住,Title of migration panel
BatchControl.NoDistrict,地区が選択されていません。,Shown when no district is selected on some batch control tabs
BatchControl.Population,人口,Tooltip of a tab allowing to manage population.
BatchControl.ShowInfo,開拓地の管理,Button opening a window to view and manage multiple buildings and characters at once . Please keep short
BatchControl.Storage,倉庫,Tooltip of a tab allowing to manage warehouses.
BatchControl.Workplaces,仕事場,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.TemplateName,ビーバー(大人),
Beaver.Adulthood,大人,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,日齢： {0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.Child.TemplateName,ビーバー(子供),
Beaver.DeadNameSuffix,（死亡）,Preceded by beaver name and age
Beaver.DiedOldAge,{0}は老衰で亡くなりました。,{0} stands for beaver name
Beaver.Employment,雇用,Header of a section that tells of how many and where beavers are working
Beaver.GrewUp,{0}が大人になりました。,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.Homeless,ホームレス,Signifies that the beaver has no home
Beaver.HomelessPlural,ホームレス,Label before number of homeless beavers
Beaver.House,住み家：{0},{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Launched,{0}が出発しました。,{0} stands for beaver name. A notification that a beaver has been launched in a plane.
Beaver.PluralDisplayName,ビーバー,
Beaver.Population.Adults,大人,Label before number of adult beavers
Beaver.Population.Children,子供,Label before number of kit beavers
Beaver.Population.Contaminated,中毒症,Header of the list of beavers contaminated by badwater. Should be similar or same as Need.BadwaterContamination.DisplayName
Beaver.Population.ContaminatedAdults,中毒症の大人,"Label before number of adult beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Population.ContaminatedChildren,中毒症の子供,"Label before number of children beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
