ID,Text,Comment
AnalyticsConsent.Agree,是，我同意,
AnalyticsConsent.Disagree,不，我不同意,
AnalyticsConsent.Header,遊戲資料,Header of the panel that allows the player to consent to sending user data to the developers.
AnalyticsConsent.Info,"請分享您的《河狸浮生記 Timberborn》遊戲資料，協助我們改善遊戲。

如果同意，我們將在您遊戲時自動收集與遊戲相關的資訊。

您隨時都能在遊戲設定撤銷許可和刪除資料。如需更多資訊，請參閱<link><u>隱私權政策</u></link>。

非常謝謝您！",
Attractions.LoadRate,關注度,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,遊客,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,遊客上限：{0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Failure,自動儲存失敗,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,硬碟空間不足，自動儲存失敗,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.Success,已自動儲存,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
BatchControl.Distribution,運送,Title of the distribution panel
BatchControl.Housing,住宅,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,動能,Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys.
BatchControl.Migration,遷徙,Title of migration panel
BatchControl.NoDistrict,未選擇地區。,Shown when no district is selected on some batch control tabs
BatchControl.Population,數量,Tooltip of a tab allowing to manage population.
BatchControl.ShowInfo,管理定居地,Button opening a window to view and manage multiple buildings and characters at once . Please keep short
BatchControl.Storage,倉儲,Tooltip of a tab allowing to manage warehouses.
BatchControl.Workplaces,工作場所,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.TemplateName,成年河狸,
Beaver.Adulthood,成年,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,年齡：{0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.Child.TemplateName,幼年河狸,
Beaver.DeadNameSuffix,(去世),Preceded by beaver name and age
Beaver.DiedOldAge,{0}老死了。,{0} stands for beaver name
Beaver.Employment,勞動,Header of a section that tells of how many and where beavers are working
Beaver.GrewUp,{0}長大了。,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.Homeless,無家可歸,Signifies that the beaver has no home
Beaver.HomelessPlural,無家可歸,Label before number of homeless beavers
Beaver.House,居住地點：{0},{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Launched,{0}起飛了。,{0} stands for beaver name. A notification that a beaver has been launched in a plane.
Beaver.PluralDisplayName,河狸,
Beaver.Population.Adults,成年,Label before number of adult beavers
Beaver.Population.Children,幼年,Label before number of kit beavers
Beaver.Population.Contaminated,受汙染,Header of the list of beavers contaminated by badwater. Should be similar or same as Need.BadwaterContamination.DisplayName
Beaver.Population.ContaminatedAdults,受汙染的成年河狸,"Label before number of adult beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Population.ContaminatedChildren,受汙染的幼年河狸,"Label before number of children beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Unemployed,無業,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,無業,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,工作地點：{0},{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
Bonus.CarryingCapacity,承載能力,How much stuff a unit can carry
Bonus.CuttingSuccessChance,砍伐機率,Cutting chance when cutting down a tree
Bonus.GrowthSpeed,成長速度,Speed at which young beavers grow up
Bonus.LifeExpectancy,預期壽命,The presumed length of beavers' life.
Bonus.MovementSpeed,移動速度,"Describes how fast character can move (bonus to walking, running and swimming)."
Bonus.WorkingSpeed,工作速度,Speed at which the beavers work.
Bot.BeaversPerished,"別再跟我說什麼河狸的事了
……他們曾擁有一切，新鮮空氣，乾淨的水。
但如今那些不過是褪色的記憶。","Text for a game over state, when all beavers have perished."
Bot.Created,{0}完成了！,{0} stands for bot name. Notification that shows when production of a new bot finishes.
Bot.DeadNameSuffix,(毀壞),Preceded by bot name and age
Bot.DeathMessage,{0}已毀壞。,{0} stands for bot name. Notification that shows when a bot breaks down completely (it's destroyed)
Bot.DisplayName.Folktails,木機關人 {0},{0} stands for a bot serial number. Name of bots from the Folktails faction. Named after the fact they are visibly made from wood.
Bot.DisplayName.IronTeeth,鐵機關人 {0},{0} stands for a bot serial number. Name of bots from the Iron Teeth faction. Named after the fact they are visibly made from metal.
Bot.Durability,耐久度,Label before a progress bar showing amount of durability left
Bot.PluralDisplayName,機關人,"Bots are autonomous robots, who assist beavers in their everyday tasks. They are constructed in factories."
Bot.TemplateName,機關人,A bot is an animated anthropomorphic being which is created from inanimate matter. Timberborn bots are depicting beavers and are made of wood and metal.
Breeding.NutrientBringing,搬運工、無業河狸和下班後的勞工會帶來養料。,"Haulers are the same as in Building.HaulingPost.Description, unemployed as in Beaver.UnemployedPlural, workers as in Work.WorkersLabel"
Breeding.NutrientsNeeded,所需養料：,Followed by a list of nutrients needed to produce a new beaver in breeding facility
Breeding.Progress,繁殖進度,Label inside a progress bar describing production progress of new beaver in breeding facility
BuilderPriorityTool.Description,此工具可用來設定建造、拆除和從瓦礫堆中回收物品的優先順序。,Rubble should be plural version of RecoveredGoodStack.DisplayName
BuilderPriorityTool.Tip,按一下某個項目以設定優先順序，或按住按鈕以選擇更大的區域。,
Building.AdvancedBreedingPod.Description,利用先進繁殖流程培育出渴望工作的成年河狸。,Breeding should be the same as Building.BreedingPod.DisplayName
Building.AdvancedBreedingPod.DisplayName,先進繁殖艙,
Building.AdvancedBreedingPod.FlavorDescription,此類繁殖艙的靈感源自於一隻小河狸。他掉進了滿是精粹的大鍋，在把精粹喝得精光後，生長速度便突飛猛進。,"Extract must be the same as Good.Extract.DisplayName, kit is a young beaver."
Building.Agora.Description,大型聚會地點，河狸可在此討論木頭的事務。,
Building.Agora.DisplayName,集會所,
Building.Agora.FlavorDescription,當綠色燈塔亮起，就是神尾聚會之時。,Folktails must be same as faction as Faction.Folktails.DisplayName.
Building.AncientAquiferDrill.DisplayName,古代含水層鑽井,
Building.AquaticFarmhouse.Description,僱用種植並收割<YellowHighlight>水生</YellowHighlight>作物的農民。,"Aquatic is a keyword, must be the same as in NaturalResources.Aquatic."
Building.AquaticFarmhouse.DisplayName,水生農舍,A farmhouse that specializes in water plants.
Building.AquaticFarmhouse.FlavorDescription,「以前居然有謠言說我們吃魚。噁心！」——河狸奶奶,"Beavers eating fish is a common misconception. Beavers are 100% herbivores. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Aquifer.Description,地下水源。,
Building.Aquifer.DisplayName,含水層,
Building.AquiferDrill.Description,從含水層取水。,
Building.AquiferDrill.DisplayName,含水層鑽井,
Building.BadtideDrain.Description,在惡水潮期間排出惡水。,
Building.BadtideDrain.DisplayName,惡水潮抽水口,
Building.BadwaterDischarge.Description,封住一處惡水源頭。可開啟或關閉。開啟後，即使處於乾旱時期，惡水也會持續流動。,"Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDischarge.DisplayName,惡水排放口,"Name of the building that can either stop flow of badwater or enforce flow with full power. It's a dome shaped, mechanical building that opens and closes like a camera shutter. Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDischarge.FlavorDescription,能來這裡的都是真正的土木工程師。,This is a reference to a youtuber called Real Civil Engineer.
Building.BadwaterDome.Description,封住一處惡水源頭。可隨意開啟或關閉。,"Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDome.DisplayName,惡水圓頂,Name of the building that stops flow of badwater when put on its source. It's a dome shaped mechanical building that can open and close by raising the cover up and down. Badwater must be the same as Good.Badwater.DisplayName.
Building.BadwaterDome.FlavorDescription,沒有惡水，就沒有淚水。,"This is a reference to a Bob Marley song ""No woman, no cry""."
Building.BadwaterPump.Description,能夠抽出惡水的強化幫浦。惡水汙染程度為低時，會降低其抽取速度。,Badwater should be the same as Good.Badwater.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project.
Building.BadwaterPump.DisplayName,惡水幫浦,Badwater should be the same as Good.Badwater.DisplayName.
Building.BadwaterPump.FlavorDescription,「真希望額外的保護措施包括鼻夾。」——蘇狸,Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible.
Building.BadwaterRig.Description,封住一處惡水源頭。需僱用勞工直接在此源頭抽取惡水。,"Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterRig.DisplayName,惡水鑽井,Name of the building that stops flow from badwater source and generates Good.Badwater.DisplayName goods (by extracting them from source). It's a mechanical building that needs workers to operate. Badwater must be the same as Good.Badwater.DisplayName
Building.BadwaterRig.FlavorDescription,在滾滾惡水源頭上方工作的河狸會感受到持續性的壓力。,Play on words with pressure referring to both water pressure and stress. If possible try to adapt the phrase to fit your language.
Building.BadwaterSeep.Description,水壓有限的惡水源頭。,
Building.BadwaterSeep.DisplayName,惡水點,"A building that allows badwater to seep through, creating a natural badwater source."
Building.BadwaterSource.DisplayName,惡水源頭,A crack or spring in the ground spuming badwater. Badwater should be the same as Good.Badwater.DisplayName.
Building.BadwaterSource.FlavorDescription,「為什麼我們要清理人類的爛攤子？哦，對，因為他們都死了。」——小松,
Building.Bakery.Description,使用各種粉末烤製麵包和糕點。,Pastry being a baked good.
Building.Bakery.DisplayName,麵包坊,Building that bakes bread
Building.Bakery.FlavorDescription,「熱呼呼且撒上木屑的麵包最好吃了。」——河狸奶奶,"Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Barrack.Description,非常實用的共用住宅。,
Building.Barrack.DisplayName,棚屋,Barracks are cramped homes for beavers. Not related to soldiers.
Building.Barrack.FlavorDescription,「兩隻神尾走進一間棚屋：擅闖民宅。」——鐵牙笑話,"Reference to 'walk into a bar' jokes; only Iron Teeth use Barracks, as Folktails prefer different lodges and are less work-focused than Iron Teeth"
Building.BeaverBust.Description,似乎是重要狸士的河狸半身像。,
Building.BeaverBust.DisplayName,河狸半身像,
