ID,Text
IgorZ.SmartPower.BatteryCapacity,"Energiespeicher: {0} / {1}"
IgorZ.SmartPower.BatteryCharging,"Energiespeicher laden: <GreenHighlight>🡅</GreenHighlight>{0} ({1})"
IgorZ.SmartPower.BatteryDischarging,"Energiespeicher entladen: <RedHighlight>🡇</RedHighlight>{0} ({1})"

IgorZ.SmartPower.PoweredGenerator.NeverStop,"Diesen Energieerzeuger niemals anhalten"
IgorZ.SmartPower.PoweredGenerator.ChargeBatteriesRangeText,"Halte den Ladezustand des Energiespeichers im Bereich {0}% - {1}%"

IgorZ.SmartPower.MechanicalBuilding.NoWorkersStatus,"<SolidHighlight>⏻</SolidHighlight> Keine Arbeiter am Arbeitsplatz"
IgorZ.SmartPower.MechanicalBuilding.NoFuelStatus,"<SolidHighlight>⏻</SolidHighlight> Kraftstoff aufgebraucht"
IgorZ.SmartPower.MechanicalBuilding.NoInputStatus,"<SolidHighlight>⏻</SolidHighlight> Fehlende Bestandteile"
IgorZ.SmartPower.MechanicalBuilding.BlockedOutputStatus,"<SolidHighlight>⏻</SolidHighlight> Zu viele Produkte"
IgorZ.SmartPower.MechanicalBuilding.PowerSavingModeStatus,"Energiesparmodus"
