ID,Text,Comment
IgorZ.XRay.ColorSettings.Color.CliffEdge,"Cliff edge color",
IgorZ.XRay.ColorSettings.Color.Cliff,"Cliff color",
IgorZ.XRay.ColorSettings.Color.Grass,"Grass color",
IgorZ.XRay.ColorSettings.Color.WireframeEdge,"Wireframe edge color",
IgorZ.XRay.ColorSettings.ColorSchemaDropdown,"Color schema","The dropdown label for color schema selection"
IgorZ.XRay.ColorSettings.ColorSchemaName.BWBright,"Black and white bright","The name of the color schema with bright colors in black and white style"
IgorZ.XRay.ColorSettings.ColorSchemaName.BWDark,"Black and white dark","The name of the color schema with dark colors in black and white style"
IgorZ.XRay.ColorSettings.ColorSchemaName.Custom,"Custom","The name of the custom color schema. User can choose own settings."
IgorZ.XRay.ColorSettings.ColorSchemaName.NormalGlow,"Normal glow","The name of the color schema with normal colors and glowing effect"
IgorZ.XRay.ColorSettings.ColorSchemaName.Normal,"Normal","The name of the color schema with normal colors and no glowing effect"
IgorZ.XRay.ColorSettings.GhostModelIntensity,"Models transparency","The label for the slider that controls the transparency of the models"
IgorZ.XRay.ColorSettings.Glowing,"Glowing mode","The label for the toggle that enables or disables the glowing effect on the models"
IgorZ.XRay.ColorSettings.Header,"Models color settings","The header for the section of the mod settings that allows to customize the colors of the models"
